Time	 Node0px 	 Node0py 	 Node0pz 	 Node1px 	 Node1py 	 Node1pz 	 Seg1Te 	 
(s)	 (m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(N) 	
0.0222	 1.3482e-11	 0	 -20.7848	 1.03701e-14	 0	 -21.285	 108007	 
0.0223	 1.64018e-11	 0	 -20.7957	 1.57698e-14	 0	 -21.2959	 80046.7	 
0.0224	 1.989e-11	 0	 -20.8066	 2.27051e-14	 0	 -21.3067	 39972.9	 
0.0225	 2.40465e-11	 0	 -20.8175	 3.05202e-14	 0	 -21.3175	 1582.21	 
0.0226	 2.89864e-11	 0	 -20.8283	 3.84597e-14	 0	 -21.3282	 0	 
0.0227	 3.48426e-11	 0	 -20.8391	 4.63759e-14	 0	 -21.339	 0	 
0.0228	 4.17677e-11	 0	 -20.8499	 5.42862e-14	 0	 -21.3498	 0	 
0.0229	 4.99374e-11	 0	 -20.8606	 6.22135e-14	 0	 -21.3606	 0	 
0.023	 5.95526e-11	 0	 -20.8713	 7.0194e-14	 0	 -21.3714	 6500.81	 
0.0231	 7.08431e-11	 0	 -20.882	 7.90972e-14	 0	 -21.3821	 40699.1	 
0.0232	 8.40709e-11	 0	 -20.8927	 9.19245e-14	 0	 -21.3929	 71963.6	 
0.0233	 9.95342e-11	 0	 -20.9034	 1.125e-13	 0	 -21.4036	 90117.4	 
0.0234	 1.17572e-10	 0	 -20.914	 1.4422e-13	 0	 -21.4142	 89869.2	 
0.0235	 1.38569e-10	 0	 -20.9247	 1.88776e-13	 0	 -21.4248	 72284.2	 
0.0236	 1.62962e-10	 0	 -20.9352	 2.45238e-13	 0	 -21.4353	 44078.7	 
0.0237	 1.91241e-10	 0	 -20.9458	 3.1e-13	 0	 -21.4458	 15093.1	 
0.0238	 2.2396e-10	 0	 -20.9564	 3.77926e-13	 0	 -21.4564	 0	 
0.0239	 2.61741e-10	 0	 -20.9669	 4.45929e-13	 0	 -21.4669	 0	 
0.024	 3.05278e-10	 0	 -20.9774	 5.13935e-13	 0	 -21.4774	 0	 
0.0241	 3.55352e-10	 0	 -20.9879	 5.82381e-13	 0	 -21.4879	 10991.4	 
0.0242	 4.12829e-10	 0	 -20.9983	 6.57113e-13	 0	 -21.4984	 35850.8	 
0.0243	 4.78677e-10	 0	 -21.0087	 7.51677e-13	 0	 -21.5089	 59495.1	 
0.0244	 5.53971e-10	 0	 -21.0192	 8.82625e-13	 0	 -21.5193	 74174	 
0.0245	 6.39904e-10	 0	 -21.0295	 1.06471e-12	 0	 -21.5297	 75521.6	 
0.0246	 7.37801e-10	 0	 -21.0399	 1.30581e-12	 0	 -21.54	 63806.4	 
0.0247	 8.49125e-10	 0	 -21.0503	 1.60341e-12	 0	 -21.5503	 43584.1	 
0.0248	 9.75491e-10	 0	 -21.0606	 1.94471e-12	 0	 -21.5606	 21959.4	 
0.0249	 1.11867e-09	 0	 -21.0709	 2.31092e-12	 0	 -21.5709	 6105.06	 
0.025	 1.28061e-09	 0	 -21.0812	 2.68539e-12	 0	 -21.5812	 898.438	 
0.0251	 1.46342e-09	 0	 -21.0914	 3.06307e-12	 0	 -21.5914	 7445.12	 
0.0252	 1.66941e-09	 0	 -21.1016	 3.45794e-12	 0	 -21.6017	 22928.2	 
0.0253	 1.90113e-09	 0	 -21.1118	 3.90501e-12	 0	 -21.6119	 41757.8	 
0.0254	 2.16131e-09	 0	 -21.122	 4.45493e-12	 0	 -21.6221	 57569.6	 
0.0255	 2.45293e-09	 0	 -21.1322	 5.16165e-12	 0	 -21.6323	 65367.6	 
0.0256	 2.77922e-09	 0	 -21.1423	 6.06673e-12	 0	 -21.6425	 63096.7	 
0.0257	 3.14364e-09	 0	 -21.1525	 7.18569e-12	 0	 -21.6526	 52158.1	 
0.0258	 3.54997e-09	 0	 -21.1626	 8.50241e-12	 0	 -21.6626	 36758.6	 
0.0259	 4.00226e-09	 0	 -21.1726	 9.97557e-12	 0	 -21.6727	 22370.2	 
